ETTh2 dense_static right_3 P=24 L=384 H=96 n=256
/nyx-storage1/hanliu/miniconda3/envs/wm4ts/lib/python3.10/site-packages/transformers/utils/hub.py:128: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
{
  "native_model": 0.918408,
  "native_zero": 0.895457,
  "native_ratio": 1.02563,
  "native_gain": -0.02563,
  "raw_oracle_mse": 0.004907,
  "raw_oracle_zero_mse": 0.004737,
  "raw_causal_mse": {
    "nearest_visible_left": 0.034349,
    "context_global": 0.041498
  },
  "ts_model_oracle_mse": 0.149313,
  "ts_model_oracle_mae": 0.169655,
  "ts_model_causal_mse": 0.420875,
  "ts_model_causal_mae": 0.353628,
  "ts_zeroed_oracle_mse": 0.147475,
  "ts_zeroed_oracle_mae": 0.175141,
  "ts_zeroed_causal_mse": 0.418128,
  "ts_zeroed_causal_mae": 0.353422,
  "seam_error": 0.215023,
  "smean": 0.451754,
  "snaive": 0.461081
}
